No|entity|annotation|index1|index2|sentence
425|SERVICE|knows|36|41|a coffee machine that automatically knows how many people are in my house, and prepare the proper portion of coffee for those people
426|SERVICE|turns|16|21|my alarm system turns on and off automatically at preset times
427|SERVICE|alert|11|16|My home to alert me to possible damage
428|SERVICE|alert|11|16|My home to alert me to changing environmental issues
429|SERVICE|alert|11|16|My home to alert me to dangerous situations in my surrounding area
430|SERVICE|start|11|16|My home to start the self cleaning litter box for me
431|SERVICE|alert|14|19|My kitchen to alert me when I leave an appliance on that shouldn't be
432|SERVICE|alert|11|16|My home to alert me to my favorite shows and DVR them for me when I am not home
433|SERVICE|monitor|11|18|My home to monitor my energy usage
434|SERVICE|monitor|15|22|the ability to monitor my dog's water bowl
435|SERVICE|turn|24|28|lights to automatically turn off when I'm not present
436|SERVICE|turn|17|21|my television to turn on when my favorite sports team plays
437|SERVICE|shut|9|13|doors to shut automatically if I leave them open unattended
438|SERVICE|clean|14|19|my gutters to clean themselves when full
439|SERVICE|lock|35|39|my external doors to automatically lock after 30 seconds
440|SERVICE|clean|11|16|my oven to clean itself periodically
442|SERVICE|moves|11|16|music that moves with me into the next room
443|SERVICE|switch|9|15|a way to switch what i'm watching on one screen to move to another room
444|SERVICE|turn on|30|37|my pool pump to automatically turn on for a set amount of time that I set
445|SERVICE|view|17|21|a digital way to view my wardrobe and select pieces to make an outfit and have them brought to me
446|SERVICE|open|3|7|to open my garage door 
447|SERVICE|turn|9|13|my tv to turn on when my selected show are on
448|SERVICE|tracks|15|21|something that tracks what my body needs nutrition-wise throughout the day by monitoring me every morning, and can alert me when i might be getting sick
450|SERVICE|check|3|8|to check the purity and quality of my water i use for drinking 
451|SERVICE|sense|28|33|lights and electronics that sense when i've fallen asleep and adjust automatically
452|SERVICE|turn on|21|28|my coffee machine to turn on at 6:45 am
453|SERVICE|open|11|15|doors that open via sensor if my hands are full
454|SERVICE|mix|18|21|a device that can mix cocktails and allows me to choose what i want made
455|SERVICE|control|3|10|to control temperature and spray of my shower
456|SERVICE|move|31|35|A big tv in the attic that can move into whatever room I'm in
457|SERVICE|notify|17|23|my smart home to notify me whenver water is leaking from a faucet
458|SERVICE|monitor|3|10|to monitor my pets health problem automatically with detecting device  
459|SERVICE|turn|20|24|my heated floors to turn on at 6:45 am 
460|SERVICE|operated|10|18|a machine operated bed 
461|SERVICE|wash|12|16|A device to wash stove and tables
462|SERVICE|detect|26|32|surfaces to automatically detect and report sanitation levels in real time
463|SERVICE|adjust|41|47|my smart home's showers to automatically adjust to my desired water temperature
464|SERVICE|projected|0|9|projected figure to assist me with a click of a remote
465|SERVICE|locate|13|19|a feature to locate commonly misplaced items, phones, glasses, wallets, keys
470|SERVICE|dim|26|29|lights that automatically dim and shut off, after there is no movement in the room for a period of time
471|SERVICE|monitored|32|41|my daily purchase of home needs monitored and done automatically with the help of mobile application 
472|SERVICE|alert|17|22|my smart home to alert my family when there is bad weather approaching
473|SERVICE|listen|3|9|to listen to the latest NFL scores
474|SERVICE|optimized|0|9|optimized lighting system
477|SERVICE|monitor|27|34|an alarm system that i can monitor anywhere
478|SERVICE|display|12|19|my walls to display concert footage, automatically adjust acoustics of the room for optimal sound, and display light effects
480|SERVICE|paid|73|77|a virtual inventory of my closet, and daily suggestions for outfits from paid fashionistas online
482|SERVICE|detects|25|32|monitoring software that detects nudity, drug use, and foul language and sends me live footage when it occurs
484|SERVICE|built|2|7|"a built in ""SIRI"" like assistant"
485|SERVICE|refilled|38|46|my pet's food and water automatically refilled while I'm away
486|SERVICE|set|17|20|My smart home to set reminders to start laundry and alerts when laundry is done.
487|SERVICE|monitor|12|19|videos that monitor the inside of my home
488|SERVICE|monitored|40|49|my refrigerator and freezer temperature monitored
489|SERVICE|notify|17|23|my smart home to notify me if the household's carbon footprint is getting too high
490|SERVICE|refill|32|38| my smart home to automatically refill the pet's water and food bowl through an automated system
491|SERVICE|adjusted|30|38|the temperature automatically adjusted inside my home when there are external changes in temperature to compensate
492|SERVICE|shut|17|21|my smart home to shut off lights when I leave the room
493|SERVICE|remote|7|13| I can remote activate anything even not in the kitchen
494|SERVICE|record|12|18|the door to record the time of day or night it is opened
495|SERVICE|control|17|24|my smart home to control water intake by alerting me when I go above my set use.
496|SERVICE|talk|13|17| The oven to talk with basic information
498|SERVICE|monitored|32|41|my elderly parent's vital signs monitored, for example heart rate, how long the person has been sitting, lying down or immobile
499|SERVICE|turn on|31|38|my smart home to automatically turn on the sprinklers and water the lawn in conjuction with my mobile devices
500|SERVICE|capture|17|24|My smart home to capture a picture and alert me via a specific sound and a text message via mobile phone when a vehicle enters my driveway,
501|SERVICE|lower|3|8|to lower and raise the volume on my TV verbally from any room in the house
502|SERVICE|alert|17|22|my smart home to alert me when it is time for a meal.
503|SERVICE|close|32|37| my smart home to automatically close and open pre-specified window shades, and to turn on-off specific lights in and around my home automatically each night and each day,
504|SERVICE|alert|17|22|my smart home to alert me via a specific sound and a text message via mobile phone when a personal parcel package is delivered to my door
505|SERVICE|regulate|0|8|regulate my bore well motor
507|SERVICE|Switch on|0|9|Switch on all electric goods during enter the room
508|SERVICE|close|31|36|my smart home to automatically close and open pre-specified window shades, and to turn on-off specific lights in and around my home automatically each 
509|SERVICE|check|6|11|it to check each room and turn off lights if a person is not in the room
510|SERVICE|regulate|3|11|to regulate the motor 
511|SERVICE|stop|3|7|To stop the burner
512|SERVICE|increase|0|8|increase the heart beat
513|SERVICE|regulate|3|11|to regulate the pressure
514|SERVICE|know|3|7|to know the weather
516|SERVICE|maintain|0|8|maintain the working hours arrange the good teacher for free students
517|SERVICE|send|17|21|my smart home to send an alert to my phone when my children cut any electronics on after 10 pm.
518|SERVICE|alert|17|22|my smart home to alert me to when my child starts to exhibit signs of an asthma attack by flashing a red light with a human voice alert
519|SERVICE|control|17|24|my smart home to control the volume after 10pm. by automatically turning it down low if it is too loud
521|SERVICE|preheat|17|24|my smart home to preheat my oven and turn on my coffeemaker at 7:00 am
522|SERVICE|sort|17|21|my smart home to sort through the trash at certain intervals and extract recyclables from the trash
523|SERVICE|responds|18|26|a smart home that responds to my voice when I ask for weather and traffic updates by relaying the information through a human-like voice
524|SERVICE|fill|36|40|my cat's food bowl to automatically fill itself when empty or it is time to feed my cat and to seal when the cat is not eating
525|SERVICE|decrease|23|31|my house thermostat to decrease when I am sleeping
526|SERVICE|notify|12|18|my house to notify me when someone is going to be entering my recording room
527|SERVICE|set|12|15|my house to set an alarm for me when I request it to
528|SERVICE|notify|11|17|My home to notify me when it is time to water certian house plant
529|SERVICE|alert|17|22|my smart home to alert me when there is difference in elder person's movements.
531|SERVICE|turn off|12|20|My house to turn off christmas decorations at night when I do to sleep
533|SERVICE|turn on|17|24|The crock pot to turn on at a certain time of the day
535|SERVICE|notify|17|23|my smart home to notify me when it detects gas leakage
536|SERVICE|tell|12|16|my house to tell me when a load is done
537|SERVICE|control|23|30|temperature sensors to control the heat of the hob or oven
538|SERVICE|alert|17|22|my smart home to alert me when i have low or high amount of sleep.
539|SERVICE|turn off|0|7|turn off lights when nobody is in the room during the daytime only
540|SERVICE|alert|0|5|alert me when something usual happened like fire,smoke
541|SERVICE|send|25|29|an emergency alarm which send messages to pre selected numbers
542|SERVICE|turns on|32|40|automatic lighting system which turns on light after getting dark
543|SERVICE|alert|14|19|an feature to alert me when i spend too much time on social networks
544|SERVICE|turn off|14|22|automatically turn off gas during earthquake or fire
545|SERVICE|alert|0|5|alert me when i need to service my fridge, washing machine
546|SERVICE|alert|17|22|my smart home to alert me when i spend too much time watching televisions.
547|SERVICE|close|28|33|my windows to automatically close when it rains
548|SERVICE|turn on|17|24|my smart home to turn on Air conditioner when the temperature is high and can sense human presence in the room
549|SERVICE|turn off|22|30|the unnessary taps to turn off
550|SERVICE|switch|13|19|the motor to switch off when the tank is full
551|SERVICE|turn on|14|21|the lights to turn on at 6 if nobody is at home
552|SERVICE|remain|15|21|the windows to remain dust free
553|SERVICE|lock|3|7|to lock the cartoon channels after 1 hour
554|SERVICE|become|31|37|the temperature in my house to become more energy efficient when I leave but raise again when I come back
555|SERVICE|block|34|39|my window blinds to automatically block out the sun
556|SERVICE|detects|15|22|a feature that detects when the room could use a boost of aromatherapy
557|SERVICE|dim|12|15|lights that dim as well as change color
558|SERVICE|set|9|12|a system set up through the house that notifies me when items are cooked or other kitchen-related messages
559|SERVICE|view|9|13|a way to view a live stream of my pet when I am out of the house
560|SERVICE|recycling|18|27|my trash cans and recycling bin automatically returned to my garage after trash pickup
561|SERVICE|hamper|22|28|A smart dirty clothes hamper that takes clothes and sorts then and washes at a specified time
562|SERVICE|look|44|48|a waterproof screen in the kitchen that can look up recipes and play cooking instructional videos without me having to touch it
563|SERVICE|detects|14|21|a sensor that detects a person lying on the floor for more than one minute
565|SERVICE|washes|19|25|a shower head that washes my hair for me
566|SERVICE|sanitize|25|33|floors and counters that sanitize themselves
567|SERVICE|appear|30|36|laser lights and toy balls to appear at random intervals
569|SERVICE|reads|14|19|a device that reads any book/notes I hover it over
572|SERVICE|test|12|16|my house to test itself for radon levels twice a year
573|SERVICE|turn off|22|30|Automatic lights that turn off whenever I leave the room
574|SERVICE|detects|23|30|Automatic Garbage that detects when it is full and Empties itself to the curb
577|SERVICE|track|18|23|the bed itself to track sleep patterns and give suggestions
578|SERVICE|turn|14|18|An Ac unit to turn off when it reaches a certain temperature. 
580|SERVICE|tracks|18|24|"""piggy"" bank that tracks the money added and responds with congratulations and other comments"
581|SERVICE|controls|28|36|a sophisticated shower that controls temperature, light, water pressure, etc. and responds to voice commands
583|SERVICE|filter|15|21|my internet to filter adult sites.
584|SERVICE|bulbs|10|15|my lights bulbs to turn off after 5 minutes
585|SERVICE|catalog|24|31|a refrigerator that can catalog the items inside and alert me how long they've been in there and if they should be eaten soon
586|SERVICE|alert|12|17|my house to alert me to mold inside my walls
587|SERVICE|turn off|17|25|my television to turn off every 2 hours
588|SERVICE|suggest|11|18|my home to suggest movies out loud based on the time of year 
589|SERVICE|change|18|24|the tv channel to change with my voice
590|SERVICE|turns on|69|77|low-level lighting in the floors and potentially the walls that only turns on as I'm walking through that area at night
591|SERVICE|open|19|23|the doggie door to open at certain times of the day,
592|SERVICE|connect|12|19|my scale to connect to my ipad
593|SERVICE|beep|22|26|my smoke alarms would beep when the battery gets low.
594|SERVICE|suggests|28|36|a smart weather device that suggests certain times that would be best for certain activies
595|SERVICE|react|17|22|my smart home to react to my voice and play a movie that I request,
596|SERVICE|lock|12|16|my doors to lock automatically.
597|SERVICE|hear|3|7|to hear an alarm if I did not exercise that day
598|SERVICE|alert|13|18|my fridge to alert me when I am low on milk and cereal
599|SERVICE|analyses|14|22|a device that analyses the air and lets me know when its not clean
600|SERVICE|react|17|22|my smart home to react to my voice and DVR a show or shows that I specify,
601|SERVICE|ring|12|16|an alarm to ring when a gun thats not mine enters the home
602|SERVICE|wake|8|12|home to wake me up for work
603|SERVICE|alert|17|22|my smart home to alert the police if someone is trying to break in,
604|SERVICE|alert|17|22|my smart home to alert the fire department if a fire is detected,
605|SERVICE|detect|17|23|my smart home to detect our foods are 100% organic 
606|SERVICE|turn on|13|20|my heater to turn on when the temperature gets too low 
607|SERVICE|turn on|21|28|my outside lights to turn on at night
608|SERVICE|detect|17|23|My smart home to detect either virus or bacteria's presence in home 
609|SERVICE|alert|18|23|my smart house to alert me when I am about to run out of a grocery item,
611|SERVICE|calculate|17|26|My smart home to calculate Our walking step inside home individual 
612|SERVICE|detect|11|17|My home to detect weapons or harmful materials who is inside the home
613|SERVICE|alert|17|22|my smart home to alert me when I have been inactive for too long,
614|SERVICE|calculate|11|20|My home to calculate calorie intake and burn in possible ways with smartphone
615|SERVICE|remind|17|23|my smart home to remind to exercise and track my progress,
616|SERVICE|activate|17|25|my smart home to activate the Roomba at certain times of the day,
617|SERVICE|track|17|22|My smart home to track my previous music and interest suggest new arrivals which is slimier to my interest 
618|SERVICE|detect|11|17|My home to detect carbon emission from my refrigerator,mobile radiation level,or there is any other radioactive particle inside home which is more than normal suggested level
619|SERVICE|track|11|16|My home to track small kids activity and alarm us when they fall down something like that
620|SERVICE|track|17|22|My smart home to track time based activity and prepare regarding for that.For example for three days after walking up if i turn on water heater fourth day it should turn on when I wake up like that
621|SERVICE|sound|12|17|an alarm to sound if a TV is still powered on after leaving the house
622|SERVICE|sound|12|17|an alarm to sound if the garage door is left open after a car enters/exits
627|SERVICE|turn off|18|26|all appliances to turn off when people leave the room 
628|SERVICE|shut|5|9|auto shut down feature for everything when we leave the home 
629|SERVICE|turn on|27|34|the main living room tv to turn on at specific times when i get home 
630|SERVICE|turn off|5|13|auto turn off feature for stove if left on too long 
631|SERVICE|remind|26|32|an auto feature that will remind me to change water sofner 
632|SERVICE|tell|12|16|my phone to tell me when someones within yards of my front door 
633|SERVICE|alert|0|5|alert me when I am about to run out of medication
634|SERVICE|adjusts|15|22|a freezer that adjusts temperature based on room temperature
635|SERVICE|alert|31|36|automatic soap dispensers that alert you when someone uses the sink but forgets soap
636|SERVICE|detect|53|59|plants that water themselves with a gadget when they detect water is needed
637|SERVICE|alert|12|17|an alarm to alert me when my dog's bowl needs cleaning
638|SERVICE|heated|8|14|lightly heated windows 
639|SERVICE|start|17|22|my smart home to start laundry after it senses a full load of clothes. 
640|SERVICE|turn off|19|27|light sensors that turn off after 3 minutes of not detecting someone in the room
641|SERVICE|alert|26|31|alarm systems on doors to alert me if a door is unlocked after 9pm so it can remind me to lock it
644|SERVICE|adjust|17|23|my smart home to adjust my blinds when it gets light or dark,
645|SERVICE|heat|17|21|my smart home to heat the oven
646|SERVICE|run|17|20|my smart home to run a bath tub at optimal temperature 
648|SERVICE|know|17|21|my smart home to know when it has rained the last few days and not run my sprinklers
649|SERVICE|change|14|20|my furnace to change filters automatically (have a storage of 6 in it and rotates through those every month)
650|SERVICE|integrate|12|21|my house to integrate to my phone and tell me when I need to service or repair something
653|SERVICE|perpare|33|40|my coffee maker to automatically perpare itself for the next mornign with water and coffee
654|SERVICE|open|26|30|the door to automatically open if the dog is at the door
655|SERVICE|turn on|33|40|my outside home video cameras to turn on when the motion light is activated
656|SERVICE|send|10|14|my car to send an alert to my smartphone if I forget to lock it
657|SERVICE|turn off|24|32|a nightlight that I can turn off with my smartphone after my child is asleep
658|SERVICE|turns on|10|18|a TV that turns on at a specific time, to a specific channel, at a specific volume 
659|SERVICE|start|26|31|a coffee maker that I can start from my smartphone
661|SERVICE|alert|13|18|a feature to alert me when the fence gate has been opened
663|SERVICE|shut|24|28|a garage door that will shut itself if it is open after a specified time
671|SERVICE|know|32|36|my thermostats to automatically know when I want the home cooler or warmer
672|SERVICE|start up|26|34|my stove to automatically start up when I push a button and heat water I have set on the stove
673|SERVICE|tells|14|19|a shower that tells me when I have over exceeded the time limit of five minutes (or whatever I set)
674|SERVICE|shut off|26|34|my water in the shower to shut off after 10 minutes
675|SERVICE|turn off|12|20|my house to turn off interior Christmas lights when I leave the house
676|SERVICE|lock/unlock|3|14|to lock/unlock my door by fingerprint touchscreen
677|SERVICE|detect|12|18|my house to detect if there is mold in the walls
678|SERVICE|control|3|10|it control my computer
679|SERVICE|control|3|10|to control sprinklers
680|SERVICE|unlock|25|31|A hand scanner that will unlock my door. 
682|SERVICE|detect|18|24|My smart house to detect any music on my phone and play it accordingly.
686|SERVICE|lock|40|44|They doors and windows to automatically lock at certain times.
687|SERVICE|regulate|18|26|the thermostat to regulate temperature independently based on if people are in the house or not
688|SERVICE|turned on|11|20|coffee pot turned on at 5am
689|SERVICE|prepare|14|21|my kitchen to prepare a meal for me by itself
691|SERVICE|secured|20|27|My smart home fully secured
692|SERVICE|turned on and set|7|24|shower turned on and set at warm temperature
693|SERVICE|cleans up|18|27|a smart maid that cleans up after messes that are made
695|SERVICE|lock and unlock|12|27|cabinets to lock and unlock based on a hand print or thumbprint
697|SERVICE|regulate|17|25|the hot water to regulate based on which person is taking a shower
699|SERVICE|arm|11|14|my home to arm the alarm itself every night at a certain time
701|SERVICE|lock|27|31|the doors to automatically lock after a certain time of not opening or closing the doors 
703|SERVICE|sound|41|46|small alarms around windows and doors to sound when outside wind or drafts enter specific places
704|SERVICE|turn|30|34|the automatic wall heating to turn on
705|SERVICE|sync|11|15|my home to sync with my fitbit in order to prepare a meal/drink and adjust room temperatures 
706|SERVICE|call|17|21|my smart home to call my cell phone when my child enters the home
708|SERVICE|start|13|18|my shower to start on its own in the morning
709|SERVICE|take|19|23|my refrigerator to take inventory of my groceries
710|SERVICE|check|14|19|smart home to check for movement in my home prior to my entering
712|SERVICE|unlock|18|24|the front door to unlock and open
715|SERVICE|know|10|14|My car to know when i'm ready to go before i get there from my house network
717|SERVICE|monitor|11|18|my home to monitor clothes and bed sheets from the last time they were laundered
718|SERVICE|monitor|11|18|my home to monitor my body and it's functions and test excretions for possible ailments
719|SERVICE|track|16|21|refrigerator to track the items it stores and provide a digital reading when items are running low 
720|SERVICE|vacuum|3|9|my vacuum to vacuum the home at a specific time each day
723|SERVICE|provide|9|16|my TV to provide me with a list of options based on my preset and prioritized preference and automatically beep and change to the best show for me at that time
724|SERVICE|detect|17|23|my smart home to detect when a room is vacant for a specified amount of time and turn off all lights in that room
725|SERVICE|lock|21|25|the refridgerator to lock after 10 pm
727|SERVICE|run|22|25|my dishwasher to only run after a specified time
729|SERVICE|shut|5|9|self shut off pressure valves for furnace 
731|SERVICE|notify|17|23|my smart home to notify me on my cell when the smoke detectors' batteries are getting low 
732|SERVICE|detect|17|23|my smart home to detect and sound an alarm when my pet is on the counters
733|SERVICE|autoclean|40|49|my bathroom mirror, sink, and shower to autoclean each day
734|SERVICE|alert|17|22|my smart home to alert me whenever the stove is being used when I am not home
735|SERVICE|alert|17|22|my smart home to alert me at specified times to exercise
737|SERVICE|store|17|22|my smart home to store all of my recipes and be able to recite them to me step by step as I cook
738|SERVICE|alert|22|27|Phone notification to alert me when my washer is done washing my clothes
739|SERVICE|alert|22|27|Phone notification to alert me when the garage door is opened
740|SERVICE|alert|22|27|Phone notification to alert me when food in the fridge is about to spoil/go bad
741|SERVICE|alert|22|27|Phone notification to alert me of the weather conditions and suggest how to dress properly
742|SERVICE|alert|22|27|Phone notification to alert me if my child gets too close to the pool outside
743|SERVICE|alert|22|27|Phone notification to alert me when mail or packages are delivered to my house
744|SERVICE|alert|22|27|Phone notification to alert me if my dog wanders away from home
745|SERVICE|alert|22|27|Phone notification to alert me when someone knocks on my front door
746|SERVICE|alert|22|27|Phone notification to alert me if my child wanders too close to the street
747|SERVICE|gather|16|22|a way to easily gather my children 
749|SERVICE|sound|12|17|an alarm to sound if the gate to the pool is opened
750|SERVICE|jeeps|20|25|a smart fridge that jeeps track of essential food items
751|SERVICE|alert|11|16|a sound to alert me if I forget to set the alarm
752|SERVICE|turn off|14|22|all lights to turn off or dim when rooms are unoccupied
753|SERVICE|controls|14|22|a device that controls the all lights in any room of the house
754|SERVICE|shut down|36|45|all electronics (computers, etc) to shut down or sleep after a certain hour.
755|SERVICE|shut off|34|42|All power strips to automatically shut off when plugged in devices are fully charged
756|SERVICE|adjusts|14|21|a device that adjusts the tomperature in the house according to the weather
757|SERVICE|led|0|3|led lighting to guide me up the walkway when I come home at night
758|SERVICE|turn on and off|35|50|the humidifier in my son's room to turn on and off at certain time overnight
759|SERVICE|opens|34|39|smoke detector that automatically opens doors
760|SERVICE|tell|14|18|a device that tell me when mail or a package has arrived
761|SERVICE|reports|23|30|A weather station that reports the weather right from my own yard
762|SERVICE|operate|26|33|A smart car that will not operate when my teenage kids try to sneek the car out
763|SERVICE|opens|24|29|a door that unlocks and opens with the command of a smart phone
767|SERVICE|detect|20|26|a smart system that detect drain clogs in my septic
769|SERVICE|notifies|14|22|a system that notifies me when I'm using too much energy
770|SERVICE|warn|26|30|An alarm system that will warn me when my toilet is about to get clogged up
771|SERVICE|start|17|22|my smart home to start slowly rising the blinds and playing soft relaxing sounds about 20 minutes before i have to wake up
772|SERVICE|shut off|9|17|My tv to shut off at a certain time when my kids watch
773|SERVICE|shut|18|22|My indoor wifi to shut at certain times of the day
776|SERVICE|tells|23|28|a security system that tells and tracks who is entering my home
777|SERVICE|track|12|17|the home to track where i am and if i leave a room i want the music to follow me through the house
779|SERVICE|grant|15|20|the ability to grant a single use code to open the door even if i am not at home at the time
780|SERVICE|controlled|13|23|separate TVs controlled for individuals in the house
782|SERVICE|operate|32|39|A gaming console that will only operate under parents commands
783|SERVICE|tell|19|23|A vacuum that will tell me when the floors are 100 percent clean
784|SERVICE|tells|14|19|a system that tells me how many hours I'm working and per hour rate
785|SERVICE|detect|21|27|household cameras to detect when I leave the house, and activate recording
786|SERVICE|detect|10|16|the TV to detect weather alerts and automatically turn on the TV and turn to the weather channel
787|SERVICE|activate|34|42|the alarm system to automatically activate after all registered people in the home have left
788|SERVICE|detect|19|25|medical sensors to detect when a life threatening medical even occurs (heart attack) and notify emergency services
789|SERVICE|activate|29|37|heat and air conditioning to activate and de-activate as I move from one room to another
790|SERVICE|signals|21|28|a smart shower which signals when i pre programmed temperature is reached
791|SERVICE|detect|11|17|sensors to detect a break-in and automatically close and lock the doors of the room containing intruder
796|SERVICE|control|17|24|a unit that will control the lights, sounds, temperature and entertainment devices in the house
797|SERVICE|recieve|3|10|to recieve a text message at any point during the day when my electricity and water usage exceeds an acceptable level
799|SERVICE|turn on|19|26|my water heater to turn on at 3 am monday through friday
800|SERVICE|unlock|14|20|the option to unlock the front door from an app or remote when visitor has been verified from an auditory system.
801|SERVICE|check|45|50|my kids monitoring system, during nights, to check weather they have a sound sleep
802|SERVICE|track|28|33|something in the kitchen to track my weight and calorie intake
803|SERVICE|learn|18|23|an oven that will learn when I am home from work and turn itself on to warm my dinner
804|SERVICE|turn|15|19|Alarm clock to turn the light lights on, slowly increasing the amount of light
805|SERVICE|detect|22|28|the speaker system to detect different moods to change music accordingly (if playing).
806|SERVICE|notify|19|25|My refrigerator to notify me on my smartphone that its stock needs to replenished.
807|SERVICE|kitchen|0|7|kitchen safety system to get automatically on after 10:00 PM
808|SERVICE|open|17|21|my smart home to open the back door whenever it detects my dog's presence for longer than 3 minutes
810|SERVICE|recieve|3|10|to recieve text notification of new movies that match my viewing criteria are added to an online library
811|SERVICE|allow|17|22|a door that will allow my pets to go out or in by recognition.
812|SERVICE|alert|17|22|my smart home to alert me whenever a presence is detected on the downstairs level when I've recorded that I am upstairs for the night
813|SERVICE|tell|12|16|a sensor to tell me when and what my lawn needs to be healthy
814|SERVICE|allow|30|35|a SMART Home option that will allow my pet to walk to the door, bark, and a dog door raises to let them out
815|SERVICE|sense|17|22|a crib that will sense any disturbances in my baby's sleep, including crying or needing a diaper change
816|SERVICE|adjust|19|25|a shower that will adjust the water temperature automatically to preferred temperatures.
818|SERVICE|close|17|22|my smart home to close off certain regions of the home while watching children by automatically moving sliding doors
819|SERVICE|manage|13|19|smart box to manage internet cabling
820|SERVICE|sense|17|22|my smart home to sense when the soil in the front and back yards are are dry,
821|SERVICE|scan|20|24|a feature that will scan my toothbrush and remind me when to replace it
822|SERVICE|understand|0|10|understand the calories of food taken by my kids
823|SERVICE|activate|14|22|the option to activate the opening and closing of window curtains by using a remote or smart phone application
824|SERVICE|recieve|3|10|to recieve text alerts if i leave my garage door open after leaving
825|SERVICE|notify|27|33|My medicine pill holder to notify me about the pill that are going to expire
827|SERVICE|learn|17|22|my smart home to learn when I am not around and to turn off unnecessary items like TVs, coffeemaker, radio, etc.
828|SERVICE|notify|27|33|My medicine pill holder to notify me that new pills need to be purchased.
829|SERVICE|protect|18|25|a device that can protect my airspace from drones
830|SERVICE|turn on|17|24|my smart home to turn on fans automatically when stagnant air is detected 
831|SERVICE|sound|46|51|a sensor in my children's play area that will sound an alarm if someone is hurt
832|SERVICE|turn off|29|37|my child TV to automatically turn off a set time, 
833|SERVICE|asks|27|31|a speaker at the door that asks a person to name himself before he rings the door bell,
834|SERVICE|alert|17|22|my smart home to alert me when a single electronic device or source is requiring a significant amount of electricity 
835|SERVICE|sound|19|24|a sensor that will sound an alarm if my dog escapes through the fenced backyard or something happens to hurt my pet
836|SERVICE|turns one|11|20|fire place turns one when I get home from work
837|SERVICE|warm|34|38|a pet bed that will automatically warm or cool depending on the temperature of the pet
839|SERVICE|monitor|22|29|My fish tank needs to monitor and notify that  ample fish food is present in the tank
841|SERVICE|detects|32|39|smart sensor that automatically detects my pet's location in the house,
842|SERVICE|monitor|22|29|My fish tank needs to monitor and notify that  if there are any dead fish
843|SERVICE|monitor|18|25|a device that can monitor my well being and health
845|SERVICE|identify|13|21|my fridge to identify my children by age and height and have a pre-prepared snack ready in a door for hem
846|SERVICE|show|14|18|a device that show me deficiencies my home may have in it's efficiency
847|SERVICE|changes|22|29|a smart computer that changes its setting according to the person who uses it
849|SERVICE|allot|17|22|my smart home to allot food to my pets in relationship to their tracked expended energy as determined by their collars and movement
851|SERVICE|recieve|3|10|to recieve text notification if water continually runs after a certain number of minutes
853|SERVICE|analyze|15|22|the ability to analyze energy consumption by CPU or smart phone
855|SERVICE|recieve|0|7|recieve calendar/updates updates speak through my surround sound system
856|SERVICE|adjusts|26|33|geyser that automatically adjusts to optimal temperature settings,
860|SERVICE|notify|18|24|My WiFi router to notify me on my smartphone if someone tried to unauthorizedly access it.
861|SERVICE|open|23|27|automatic windows that open up by themselves each morning,
862|SERVICE|notify|11|17|Feature to notify health issue
863|SERVICE|sweeps|42|48|a device which automatically monitors and sweeps the floor.
864|SERVICE|remind|20|26|the refrigerator to remind me went we're low on a certain item(s)
865|SERVICE|records|24|31|automatic recorder that records all my conversations and automatically picks up the thing-to-do
867|SERVICE|watch|3|8|to watch different channels at same time with time change
868|SERVICE|recieve|3|10|to recieve voice commands set to tell me how many calories my dinner can consist of
869|SERVICE|check|3|8|to check my food to be healthy and things which we buy is organic
872|SERVICE|remind|3|9|to remind me when the birds needs to be feed
873|SERVICE|lock|13|17|an auto door lock feature to lock my front door if i forget to lock it when leaving home
874|SERVICE|masks|31|36|a garbage can that permanently masks the smell of garbage by deodorizing
875|SERVICE|attend|3|9|to attend my phone which i kept inside home where i was in other place
876|SERVICE|alert|17|22|my smart home to alert me when I get mail inside the mailbox, and how many pieces there are
877|SERVICE|lock|3|7|to lock and open my home when i was not there
878|SERVICE|monitor|10|17|system to monitor my parents health
879|SERVICE|opens|14|19|a laptop that opens most used programs every time it is turned on.
880|SERVICE|understand|22|32|Need to technology to understand the change in behaviour of my aging parents
881|SERVICE|understand|3|13|to understand the requirement of my kids, since being at office most of the time, I have less time to spend with them
882|SERVICE|understand|0|10|understand the health of my aging parents, like BP, sugar
883|SERVICE|alert|19|24|security system to alert me of unknown people getting into my house at my absence
884|SERVICE|know|3|7|to know if there have been unusual movement patterns in the house that might indicate a trauma
885|SERVICE|set up|12|18|to remotely set up playlist of movies to watch on TV when we get home
886|SERVICE|understand|0|10|understand the entertainment activity of my kids
887|SERVICE|understand|0|10|understand the mood swings of my kids
889|SERVICE|notify|17|23|My Smart Home to notify when I need to buy favorite foods 
890|SERVICE|report|33|39|house equipment to automatically report malfunctions
891|SERVICE|adjust|23|29|lights in the house to adjust to specific presets based on the time of day, outside illumination and activities taking place inside the house
892|SERVICE|turn on/off|17|28|My Smart Home to turn on/offlights at selected time
893|SERVICE|show|23|27|my medicine cabinet to show me which medicines and drugs should not be taken together or may have expired
896|SERVICE|vacuum|33|39|miniature robots to periodically vacuum the house
897|SERVICE|run|23|26|my cleaning devices to run when electricity prices are at their lowest
899|SERVICE|notify|15|21|home that will notify me by text message when my dog is barking
900|SERVICE|call|18|22|the smart home to call the police if there has been trespassing while the owners are not at home
901|SERVICE|interect|18|26|feature that will interect with my dog for an hour each day
902|SERVICE|turn off|10|18|home that turn off a power outlet when it senses that a plugged in device is fully charged
